Date,High,Low,Open,Close,Volume
08/08/2015 23:59,2.798810005,0.714725018,2.793760061,0.753324986,674188
09/08/2015 23:59,0.879809976,0.629190981,0.706135988,0.701897025,532170
10/08/2015 23:59,0.729853988,0.636546016,0.713989019,0.708447993,405283
11/08/2015 23:59,1.131410003,0.663235009,0.708087027,1.067860007,1463100
12/08/2015 23:59,1.28994,0.883607984,1.058750033,1.217440009,2150620
13/08/2015 23:59,1.965070009,1.171990037,1.222239971,1.827669978,4068680
14/08/2015 23:59,2.261879921,1.754750013,1.81092,1.827870011,4637030
15/08/2015 23:59,1.877239943,1.570979953,1.802889943,1.688899994,2554360
16/08/2015 23:59,1.695240021,1.089810014,1.684350014,1.566030025,3550790
17/08/2015 23:59,1.58118999,1.185340047,1.58118999,1.203609943,1942830
18/08/2015 23:59,1.331159949,1.087049961,1.215299964,1.087049961,1485680
19/08/2015 23:59,1.317989945,1.16692996,1.16692996,1.258859992,1486240
20/08/2015 23:59,1.533300042,1.248329997,1.251180053,1.464920044,2843760
21/08/2015 23:59,1.556419969,1.352800012,1.477519989,1.395290017,2020970
22/08/2015 23:59,1.476410031,1.352679968,1.396289945,1.379230022,948310
23/08/2015 23:59,1.409700036,1.297770023,1.375,1.352589965,1589300
24/08/2015 23:59,1.362779975,1.231269956,1.345589995,1.231269956,924920
25/08/2015 23:59,1.241819978,1.12864995,1.228610039,1.140190005,1307180
26/08/2015 23:59,1.202479959,1.061830044,1.132789969,1.159980059,1056750
27/08/2015 23:59,1.188830018,1.137290001,1.169810057,1.147699952,686662
28/08/2015 23:59,1.207790017,1.120499969,1.147660017,1.191380024,721872
29/08/2015 23:59,1.207209945,1.149489999,1.193529963,1.182549953,375377
30/08/2015 23:59,1.367990017,1.170609951,1.182989955,1.319270015,1337650
31/08/2015 23:59,1.396149993,1.201009989,1.321380019,1.358240008,1447180
01/09/2015 23:59,1.392740011,1.336629987,1.353479981,1.351609945,778862
02/09/2015 23:59,1.354910016,1.264619946,1.35157001,1.29479003,883769
03/09/2015 23:59,1.309990048,1.211030006,1.295189977,1.26493001,702991
04/09/2015 23:59,1.302520037,1.236809969,1.26493001,1.274410009,474391
05/09/2015 23:59,1.342300057,1.271190047,1.280560017,1.338809967,448453
06/09/2015 23:59,1.373639941,1.294250011,1.338009953,1.295830011,491968
07/09/2015 23:59,1.305480003,1.237849951,1.295899987,1.246649981,489014
08/09/2015 23:59,1.282379985,1.230610013,1.246649981,1.242429972,427892
09/09/2015 23:59,1.260480046,1.201840043,1.239349961,1.206509948,366748
10/09/2015 23:59,1.221570015,1.136150002,1.207610011,1.165770054,662782
11/09/2015 23:59,1.169070005,0.94067502,1.16497004,0.982977986,1942600
12/09/2015 23:59,1.114889979,0.969780028,0.987227976,1.038740039,772430
13/09/2015 23:59,1.042700052,0.902831972,1.041779995,0.936003029,644138
14/09/2015 23:59,0.949387014,0.871760011,0.940566003,0.875621974,741085
15/09/2015 23:59,1.045539975,0.875189006,0.875189006,0.944410026,703390
16/09/2015 23:59,0.952697992,0.901638985,0.941977024,0.907175004,615593
17/09/2015 23:59,0.909204006,0.831131995,0.906865001,0.874230981,897940
18/09/2015 23:59,0.888101995,0.833908021,0.874574006,0.853685021,484622
